Type,License No,Business Name,Address,City,State,Zip,Issued or Renewed Date,Expiration Date,County
PCM,30052,S.P.MCCLENAHAN CO.,1 ARASTRADERO RD,PORTOLA VALLEY,CA,94028,1/1/2016,12/31/2017,SAN MATEO
PCM,30055,VENTURA'S TREE MANAGEMENT,PO BOX 2637,CUCAMONGA,CA,91701,2/22/2016,12/31/2017,SAN BERNARDINO
PCM,30056,MCFALL SPRAYING,505 SOUTH E ST,EXETER,CA,93221,2/4/2016,12/31/2017,TULARE
PCM,30057,GRO TECH,PO BOX 3139,LAKE ISABELLA,CA,93205,1/1/2015,12/31/2016,KERN
PCM,30058,MCFARLIN JOE COMMERICAL SPRAY,13575 AVENUE 450,ORANGE COVE,CA,93646,1/1/2016,12/31/2017,FRESNO
PCM,30059,MORISOLI GARY,PO BOX 234,RUTHERFORD,CA,94573,1/1/2016,12/31/2017,NAPA
PCM,30061,COSYNS FARMS,15310 ROAD 19,MADERA,CA,93637,1/1/2015,12/31/2016,MADERA
PCM,30062,FOOTHILL SIERRA PEST CONTROL. INC.,11072-A MOUNTAIN BROW RD,SONORA,CA,95370,1/1/2015,12/31/2016,TUOLUMNE
PCM,30066,CMS CUSTOM SPREADING INC. (E),19400 COLUMBO,BAKERSFIELD,CA,93308,1/1/2015,12/31/2016,KERN
PCM,30067,VISALIA CITRUS PACKING GROUP INC,PO BOX 2800,VISALIA,CA,93646,1/1/2016,12/31/2017,FRESNO
PCM,30070,BUCHANAN SPRAY CO. INC.,3075 E UNIVERSITY AVE,FRESNO,CA,93703,1/1/2015,12/31/2016,FRESNO
PCM,30076,MITCHELL PEST CONTROL INC.,305 AGOSTINO RD,SAN GABRIEL,CA,91776,1/1/2016,12/31/2017,LOS ANGELES
PCM,30077,GACHINA JOHN LANDSCAPE MANAGEMENT INC.,1130 O'BRIEN DR,MENLO PARK,CA,94025,1/1/2015,12/31/2016,SAN MATEO
PCM,30081,AGRI-WORLD COOPERATIVE,31545 DONALD  AVE,MADERA,CA,93638,1/1/2015,12/31/2016,MADERA
PCM,30086,DAIRYMANS PEST CONTROL,PO BOX 4025,VISALIA,CA,93275,12/1/2015,12/31/2016,TULARE
PCM,30089,MCCASLIN GARY,18661 BEECH AVE,SHAFTER,CA,93263,1/1/2016,12/31/2017,KERN
PCM,30090,MIKE'S VINEYARD SPRAYING INC.,PO BOX 97,KERMAN,CA,93706,1/1/2016,12/31/2017,FRESNO
PCM,30094,UNRUH JOHN,5433 N SULTANA,ATWATER,CA,95301,1/1/2016,12/31/2017,MERCED
PCM,30099,MOE'S CROP DUSTING SERVICE,PO BOX 804,MARYSVILLE,CA,95668,1/7/2016,12/31/2017,SUTTER
PCM,30103,MOLLER AVIATION INC.,PO BOX 518,MAXWELL,CA,95955,1/1/2016,12/31/2017,COLUSA
PCM,30104,PARAGON ENTERPRISES,PO BOX 1008,ARROYO GRANDE,CA,93434,1/1/2016,12/31/2017,SAN LUIS OBISPO
PCM,30106,CEN-CAL AG SERVICES,1622 REDWOOD LN,DAVIS,CA,95616,1/1/2015,12/31/2016,YOLO
PCM,30107,O G PACKING COMPANY INC.,2097 BEYER LN,STOCKTON,CA,95215,1/1/2016,12/31/2017,SAN JOAQUIN
PCM,30108,R.A. ATMORE & SONS INC.,2977 SEXTON CANYON RD,VENTURA,CA,93003,1/1/2016,12/31/2017,VENTURA
PCM,30110,PERFORMANCE PEST MANAGEMENT,3958 VALLEY AVE #D,PLEASANTON,CA,94566,1/1/2016,12/31/2017,ALAMEDA
PCM,30111,AG-WAG INC,22455 ROAD 203,LINDSAY,CA,93247,1/1/2015,12/31/2016,TULARE
PCM,30112,MEDERIOS APPLICATING,18494 ORTIGALITA RD,LOS BANOS,CA,93635,1/1/2016,12/31/2017,MERCED
PCM,30113,GOLDEN VALLEY AG,5143 BLUE GUM AVE N,MODESTO,CA,95358,1/1/2015,12/31/2016,STANISLAUS
PCM,30116,WASHBURN & SONS,807 CENTER ST,RIVERSIDE,CA,92507,1/1/2016,12/31/2017,RIVERSIDE
PCM,30117,WELCH VINEYARD MANAGEMENT SERVICES,683 LESLIE ST,UKIAH,CA,95482,1/1/2016,12/31/2017,MENDOCINO
PCM,30118,ARTISTIC MAINTENANCE INC.,PO BOX 1569,LAKE FOREST,CA,92630,1/1/2015,12/31/2016,ORANGE
PCM,30121,EASTSIDE MANAGEMENT CO. INC.,1518 K ST,MODESTO,CA,95354,1/1/2015,12/31/2016,STANISLAUS
PCM,30123,BENNETT ENTERPRISES INC.,25889 BELLE PORTE AVE,HARBOR CITY,CA,90710,1/1/2015,12/31/2016,LOS ANGELES
PCM,30129,TRI VALLEY VINEYARD MANAGEMENT,PO BOX 1489,HEALDSBURG,CA,95425,1/1/2016,12/31/2017,SONOMA
PCM,30133,KUIL BROTHERS,22844 S FREDERICK,RIPON,CA,95366,1/1/2015,12/31/2016,SAN JOAQUIN
PCM,30134,FUME-TECH INC.,57 MATMOR RD,WOODLAND,CA,95776-6008,1/1/2015,12/31/2016,YOLO
PCM,30135,MONTEREY BAY PEST CONTROL,1997 DEL MONTE  BLVD,SEASIDE,CA,93955,1/1/2016,12/31/2017,MONTEREY
PCM,30136,LANDSCAPE PEST CONTROL,6363 BUDLONG LAKE,SAN DIEGO,CA,92119,1/1/2015,12/31/2016,SAN DIEGO
PCM,30137,PLANT DOCTOR,8970 CURBARIL AVE,ATASCADERO,CA,93422,1/1/2016,12/31/2017,SAN LUIS OBISPO
PCM,30138,WISECARVER FARMS,228 W ENCORE DR,HANFORD,CA,93230,1/1/2016,12/31/2017,KINGS
PCM,30139,ABRAHAM JEFF FARM SERVICE,3006 SWANSON RD,DENAIR,CA,95316,1/1/2015,12/31/2016,STANISLAUS
PCM,30143,SILVA AG SERVICE INC.,13600 MONTFORT  AVE,HERALD,CA,95638,1/1/2016,12/31/2017,SACRAMENTO
PCM,30144,APPLE TREE PEST CONTROL,3987 FIRST ST #S,LIVERMORE,CA,94551,1/1/2015,12/31/2016,ALAMEDA
PCM,30145,SATSUMA LANDSCAPE & MAINTENANCE,PO BOX 3466,CITY OF INDUSTRY,CA,91744-0465,1/1/2016,12/31/2017,LOS ANGELES
PCB,30146,SATSUMA LANDSCAPE & MAINTENANCE,PO BOX 3466,CITY OF INDUSTRY,CA,90241,1/1/2016,12/31/2017,LOS ANGELES
PCM,30148,COULSON-MOSELEY PEST CONTROL,1140 SARANAP AVE,WALNUT CREEK,CA,94595,1/1/2015,12/31/2016,CONTRA COSTA
PCM,30149,GARDINELL FARMS INC.,PO BOX 710,MCFARLAND,CA,93250,1/1/2015,12/31/2016,KERN
PCM,30151,AMERICAN WEST AVIATION,PO BOX 565,FIVE POINTS,CA,93624,1/1/2015,12/31/2016,FRESNO
PCM,30153,AMERICAN FUMIGATION CORPORATION,PO BOX 20164,CASTRO VALLEY,CA,94583,1/1/2015,12/31/2016,ALAMEDA
PCM,30158,WOOD RANCHES,22433 ROBERTSON BLVD,CHOWCHILLA,CA,93610,1/1/2016,12/31/2017,MADERA
PCM,30162,H. B.'S SPRAY SERVICE,10273 ROOT CREEK RD,MADERA,CA,93636,1/1/2015,12/31/2016,MADERA
PCM,30163,ALL SEASONS TREE & TURFCARE INCORPORATED,671 SCIROCCO DR,YUBA CITY,CA,95991,1/1/2015,12/31/2016,SUTTER
PCM,30171,B J PEST CONTROL,PO BOX 446,GEORGETOWN,CA,95634,1/1/2015,12/31/2016,EL DORADO
PCM,30172,SHUKLIAN ERIC CUSTOM FARMING,10222 1ST AVE,HANFORD,CA,93230,1/1/2016,12/31/2017,KINGS
PCM,30173,RODENT PEST TECHNOLOGIES INC,6634 DOOLITTLE AVE,RIVERSIDE,CA,92503,1/13/2016,12/31/2017,RIVERSIDE
PCM,30174,CHARLES PATTERSON CUSTOM SPREADING,PO BOX 1470,BLYTHE,CA,92225,2/10/2015,12/31/2016,RIVERSIDE
PCM,30183,CLENDENEN VINEYARD MANAGEMENT LLC,14256 BACCHUS LANDING WAY,HEALDBURG,CA,95448,1/1/2015,12/31/2016,SONOMA
PCM,30184,CLIFF'S PEST CONTROL INCORPORATED,3165 JUNE ST,SAN BERNARDINO,CA,92405,1/1/2015,12/31/2016,SAN BERNARDINO
PCM,30190,GRAGNANI LARRY F.,36617 VERDE AVE,MADERA,CA,93638,1/1/2015,12/31/2016,MADERA
PCM,30191,LARRY JACINTO FARMING INC.,PO BOX 275,MENTONE,CA,92374,1/1/2015,12/31/2016,SAN BERNARDINO
PCM,30192,YOSEMITE PEST CONTROL INC.,4783 RIDGE TOP RD,MARIPOSA,CA,95338,2/19/2016,12/31/2017,MARIPOSA
PCM,30194,HAMILTON SPREADER SERVICE,13503 S HWY 59,EL NIDO,CA,95317,1/1/2015,12/31/2016,MERCED
PCM,30195,TIM COOLEY'S GENERAL PEST CONTROL,650 COCHRAN STREET #10,SIMI VALLEY,CA,93065,1/1/2016,12/31/2017,VENTURA
PCM,30197,SCOTT & SONS WEED CONTROL,PO BOX 276205,SACRAMENTO,CA,95829,1/1/2016,12/31/2017,SACRAMENTO
PCM,30198,CRESSEY COLONY FARM SPRAYING,PO BOX 12,CRESSEY,CA,95312,1/1/2015,12/31/2016,MERCED
PCM,30199,NEIGHBORLY PEST MANAGEMENT INC.,324 RIVERSIDE AVE,ROSEVILLE,CA,95678,1/1/2016,12/31/2017,PLACER
PCM,30200,LEDINGTON ROBERT FARMING,35290 HOGAN DR,BEAUMONT,CA,92223,1/1/2015,12/31/2016,RIVERSIDE
PCM,30206,MITCHELL VINEYARD LLC,1831 SARAHS WAY,ST HELENA,CA,94574,1/1/2016,12/31/2017,NAPA
PCM,30207,NORTH COAST HELICOPTER SERVICE,1632 MILTON RD,NAPA,CA,94559,1/1/2016,12/31/2017,NAPA
PCM,30208,SUPREME TURF,8293 E BLUE CAYON CT,ANAHEIM,CA,92808,1/1/2016,12/31/2017,ORANGE
PCM,30209,PESTAWAY SERVICE COMPANY,PO BOX 18452,ANAHEIM,CA,92865,1/1/2016,12/31/2017,ORANGE
PCM,30211,SAWTOOTH AG RESEARCH INC.,PO BOX 314,WOODLAKE,CA,93286,1/1/2016,12/31/2017,TULARE
PCM,30212,NORTHWEST LANDSCAPE MAINTENANCE,283 KINNEY DR,SAN JOSE,CA,95112,1/1/2016,12/31/2017,SANTA CLARA
PCM,30215,WILDLIFE CONTROL TECHNOLOGY INCORPORATED,2501 N SUNNYSIDE,FRESNO,CA,93727,1/1/2016,12/31/2017,FRESNO
PCM,30217,THE DAVEY TREE EXPERT COMPANY,PO BOX 5193,KENT,CA,95816,1/1/2016,12/31/2017,SACRAMENTO
PCB,30218,THE DAVEY TREE EXPERT COMPANY,PO BOX 5193,KENT,CA,94005,1/1/2016,12/31/2017,SAN MATEO
PCB,30219,THE DAVEY TREE EXPERT COMPANY,PO BOX 5193,KENT,CA,95112,1/1/2016,12/31/2017,SANTA CLARA
PCB,30220,THE DAVEY TREE EXPERT COMPANY,PO BOX 5193,KENT,CA,92120,1/1/2016,12/31/2017,SAN DIEGO
PCM,30223,OXNARD PEST CONTROL ASSOCIATES,PO BOX 1187,OXNARD,CA,93032,1/1/2016,12/31/2017,VENTURA
PCM,30225,TREES INC,650 N SAM HOUSTON PKWY E SUITE 130,HOUSTON,TX,77060,1/1/2016,12/31/2017,OUT OF STATE
PCM,30226,PRECISION AG,PO BOX 518,CORCORAN,CA,93212,1/1/2016,12/31/2017,KINGS
PCM,30227,KERN AG MANAGEMENT CORPORATION,PO BOX 81163,BAKERSFIELD,CA,93314,1/1/2015,12/31/2016,KERN
PCM,30228,HUGHES AG AIR,PO BOX 515,RIVERDALE,CA,93656,1/1/2015,12/31/2016,FRESNO
PCM,30229,TREE'S PEST CONTROL,1822 EASTGATE AVE,UPLAND,CA,91784,1/1/2016,12/31/2017,SAN BERNARDINO
PCM,30230,CORSI'S EXTERMINATING,1719 LEAFDALE AVE,S EL MONTE,CA,91733,1/1/2015,12/31/2016,LOS ANGELES
PCM,30233,ERICKSON FARMS,10700 ROAD 30,MADERA,CA,93637,1/1/2015,12/31/2016,MADERA
PCM,30235,SHEPPARD JOSH CUSTOM APPLICATION,694 WATSON RD,BIGGS,CA,95917,2/8/2016,12/31/2017,BUTTE
PCM,30236,TREE HEALTH CARE,345 OLIVE AVE,PIEDMONT,CA,94611,1/1/2016,12/31/2017,ALAMEDA
PCM,30238,QUALITY SPRAYERS INC.,1549 W 17TH ST,LONG BEACH,CA,90813,1/1/2016,12/31/2017,LOS ANGELES
PCM,30239,ENVIRONMENTAL SPRAYING INC,21510 AMERICAN AVE,HILMAR,CA,95324,1/1/2015,12/31/2016,MERCED
PCM,30240,TODD'S WEED & INSECT CONTROL,9022 QUAIL COVE CT,BAKERSFIELD,CA,93314,1/1/2016,12/31/2017,KERN
PCM,30241,ADVANCED PEST CONTROL,PO BOX 392,LEMOORE,CA,93245,1/1/2015,12/31/2016,KINGS
PCM,30242,DONOVAN'S PEST CONTROL INC.,PO BOX 6910,SAN MATEO,CA,94063,1/1/2015,12/31/2016,SAN MATEO
PCM,30243,PATTERSON FLYING SERVICE INC.,PO BOX 597,NEWMAN,CA,95360,1/1/2016,12/31/2017,STANISLAUS
PCM,30244,S. C. YAMAMOTO INC.,2031 EMERY AVE,LA HABRA,CA,90631,1/1/2016,12/31/2017,ORANGE
PCM,30245,DAVID LAYOUS LANDSCAPE SERVICES,45410 VISTA PL,KING CITY,CA,93930,1/1/2015,12/31/2016,MONTEREY
PCM,30247,TOLLE FLYING SERVICE INC.,PO BOX 154,ROBBINS,CA,95676,1/1/2016,12/31/2017,SUTTER
PCM,30251,TRI-T FARMS,29630 ROAD 44,VISALIA,CA,93291,1/1/2016,12/31/2017,TULARE
PCM,30252,PELTZER FARM MANAGEMENT INC.,PO BOX 10209,TERRA BELLA,CA,93257,1/1/2016,12/31/2017,TULARE
PCM,30253,TECHNICAL SPRAY SERVICES,9511 COLFAX CT,BAKERSFIELD,CA,93312,1/1/2016,12/31/2017,KERN
PCM,30255,AG PRO,PO BOX 1325,TURLOCK,CA,95381,1/1/2015,12/31/2016,STANISLAUS
PCM,30256,PERFECTION LANDSCAPE MAINTENANCE,PO BOX 292390,PHELAN,CA,92371,1/1/2016,12/31/2017,SAN BERNARDINO
PCM,30258,AGRICULTURAL SERVICES INC.,PO BOX 335,EXETER,CA,93221,1/1/2015,12/31/2016,TULARE
PCM,30261,PESTMASTER SERVICES INC.,9716 S VIRGINIA ST #E,RENO,CA,93063,2/11/2016,12/31/2017,VENTURA
PCM,30273,ALL IN ONE PEST CONTROL INC.,730 VERNON ST,ROSEVILLE,CA,95678,1/7/2015,12/31/2016,PLACER
PCM,30274,CHAMP PEST CONTROL,11257 COLOMA RD,GOLD RIVER,CA,95670,1/1/2015,12/31/2016,SACRAMENTO
PCM,30275,SPORTS TURF MANAGEMENT,201 KENSINGTON WAY,LOS GATOS,CA,95032,1/1/2016,12/31/2017,SANTA CLARA
PCM,30278,INNOVATIVE PEST MANAGEMENT,PO BOX 265,EL SEGUNDO,CA,90245,1/1/2015,12/31/2016,LOS ANGELES
PCM,30279,ALISO VIEJO PEST CONTROL,32 VISTA DEL CERRO,ALISO VIEJO,CA,92656,1/1/2015,12/31/2016,ORANGE
PCM,30280,CHARLES G. GOLDING,15930 LAMPLEY RD,HICKMAN,CA,95323,1/1/2015,12/31/2016,STANISLAUS
PCM,30282,SIERRA PACIFIC FARMS INC.,PO BOX 1537,TEMECULA,CA,92590,1/1/2016,12/31/2017,RIVERSIDE
PCM,30286,PLANT SCIENCES INC.,342 GREEN VALLEY  RD,WATSONVILLE,CA,95076,12/31/2015,12/31/2017,SANTA CRUZ
PCM,30288,HAWKE AG AVIATION INC.,PO BOX 1133,OAKDALE,CA,95361,1/1/2015,12/31/2016,STANISLAUS
PCM,30291,NORTH BAY INDUSTRIES,649 MARTIN  AVE,ROHNERT PARK,CA,94928,1/1/2016,12/31/2017,SONOMA
PCB,30292,NORTH BAY INDUSTRIES,649 MARTIN  AVE,ROHNERT PARK,CA,93955-3032,1/1/2016,12/31/2017,MONTEREY
PCM,30293,ECOSPRAY,530 MEHLSCHAU RD,NIPOMO,CA,93444,1/1/2015,12/31/2016,SAN LUIS OBISPO
PCM,30296,ALPINE LANDSCAPE,8595 MURRAY AVE,GILROY,CA,95020,1/1/2015,12/31/2016,SANTA CLARA
PCM,30297,PRASTER GREG INCORPORATED,32595-D ROAD  132,VISALIA,CA,93232,1/1/2016,12/31/2017,KINGS
PCM,30298,COLINAS FARMING COMPANY,PO BOX 99,RUTHERFORD,CA,94573,1/1/2015,12/31/2016,NAPA
PCM,30299,PRECISSI FLYING SERVICE INC.,11919 N LOWER SACRAMENTO RD,LODI,CA,95242,1/1/2016,12/31/2017,SAN JOAQUIN
PCM,30300,CENTRAL VALLEY MANAGEMENT INC.,36040 ROAD 172,VISALIA,CA,93292,1/1/2015,12/31/2016,TULARE
PCM,30302,PROFESSIONAL COMMUNITY MANAGEMENT,PO BOX 2220,LAGUNA HILLS,CA,92653,1/1/2016,12/31/2017,ORANGE
PCM,30305,LARSON FARMING,2738 S HOWARD AVE N,KERMAN,CA,93630,1/1/2015,12/31/2016,FRESNO
PCM,30307,CALIFORNIA AGRI RESEARCH INC.,4141 N VINELAND,KERMAN,CA,93630,1/1/2015,12/31/2016,FRESNO
PCM,30310,GRIFFITH FARMS (NO FEE),504 N KAWEAH AVE,EXETER,CA,93221,4/28/2015,12/31/2016,TULARE
PCM,30311,AZTEC LANDSCAPE COMPANY,7980 LEMON GROVE WY,LEMON GROVE,CA,92045,1/1/2015,12/31/2016,SAN DIEGO
PCM,30312,CUSTOM AG LLC,1464 SILSBEE RD,EL CENTRO,CA,92243,1/1/2015,12/31/2016,IMPERIAL
PCM,30313,FARMLAND MANAGEMENT SERVICES,301 E MAIN ST,TURLOCK,CA,95380-4537,1/1/2015,12/31/2016,STANISLAUS
PCB,30314,FARMLAND MANAGEMENT SERVICES,301 E MAIN ST,TURLOCK,CA,96021,1/1/2015,12/31/2016,TEHAMA
PCB,30315,FARMLAND MANAGEMENT SERVICES,301 E MAIN ST,TURLOCK,CA,93215,1/1/2015,12/31/2016,KERN
PCM,30318,PACIFIC VINEYARD COMPANY,5878 EDNA  RD,SAN LUIS OBISPO,CA,93401,1/1/2016,12/31/2017,SAN LUIS OBISPO
PCM,30320,PACIFIC AGRI LANDS INC.,5206 HAMMETT  RD,MODESTO,CA,95351,1/1/2016,12/31/2017,STANISLAUS
PCM,30321,JOHN ARNS VINEYARD MANAGEMENT,PO BOX 652,ST HELENA,CA,94574,1/1/2015,12/31/2016,NAPA
PCM,30322,PACIFIC LANDSCAPE SERVICES,7568 SANTA ROSA RD,CAMARILLO,CA,93012,1/1/2016,12/31/2017,VENTURA
PCM,30323,PACIFIC ROTORS INC.,400 N PACIFIC ST #306,OCEANSIDE,CA,92054,1/1/2016,12/31/2017,SAN DIEGO
PCM,30325,GARVEY VINEYARD MANAGEMENT,106 WINEDALE LN,NAPA,CA,94558,1/1/2015,12/31/2016,NAPA
PCM,30327,VINTAGE LANDSCAPES,PO BOX 2370,MURPHYS,CA,95222,2/11/2016,12/31/2017,CALAVERAS
PCM,30328,D & J PEST CONTROL,645 E MCGLINLY LN #C,CAMPBELL,CA,95008,1/1/2015,12/31/2016,SANTA CLARA
PCM,30330,TURNER SPRAYING,2520 N FILBERT,EXETER,CA,93221,1/1/2016,12/31/2017,TULARE
PCM,30331,FENN TERMITE & PEST CONTROL INC.,7322 WALNUT  AVE,BUENA PARK,CA,90620,1/1/2015,12/31/2016,ORANGE
PCM,30333,JOHN W. DURAND III,539 W OAKMONT DR,PORTERVILLE,CA,93257,1/1/2015,12/31/2016,TULARE
PCM,30334,PARAMOUNT PEST CONTROL SERVICE OF CENT VALLEY INC,PO BOX 130,CERES,CA,95351,1/13/2016,12/31/2017,STANISLAUS
PCM,30335,LITTLE DAVID PEST CONTROL INC.,776 CLINTON  PL,SAN JOSE,CA,95126,1/1/2015,12/31/2016,SANTA CLARA
PCM,30336,AZTECA HORTICULTURAL SERVICES,1180 OLYMPIC DR SUITE 207,CORONA,CA,92881,1/1/2015,12/31/2016,SAN BERNARDINO
PCM,30340,CASNER EXTERMINATING CO.,11025 COMMERCIAL PKWY,CASTROVILLE,CA,95012,1/1/2015,12/31/2016,MONTEREY
PCM,30341,NEW WAY LANDSCAPE & TREE SERVICES,7485 RONSON RD,SAN DIEGO,CA,92111,1/1/2016,12/31/2017,SAN DIEGO
PCM,30342,FRANK BUONI FARMS,301 EL PASO ST,BAKERSFIELD,CA,93312,1/1/2015,12/31/2016,KERN
PCM,30344,PASTENE PEST CONTROL,505 W GLADSTONE ST,SAN DIMAS,CA,91773,1/13/2016,12/31/2017,LOS ANGELES
PCM,30346,PATERNOSTER S. ORCHARD MANAGEMENT,26689 AVE 96,TERRA BELLA,CA,93270,1/1/2016,12/31/2017,TULARE
PCM,30354,EVANS WEST VALLEY SPRAY CO,13252 BERWICK ST,SARATOGA,CA,95070,1/1/2015,12/31/2016,SANTA CLARA
PCM,30359,PALMER FARM MANAGEMENT,PO BOX 594,FILLMORE,CA,93015,2/4/2016,12/31/2017,VENTURA
PCM,30364,WELL-PICT INC.,PO BOX 973,WATSONVILLE,CA,95076,1/1/2016,12/31/2017,SANTA CRUZ
PCM,30367,LAWNMASTER,PO BOX 3668,APPLE VALLEY,CA,92307,1/1/2015,12/31/2016,SAN BERNARDINO
PCM,30370,SAN JOAQUIN HELICOPTERS,1408 S LEXINGTON,DELANO,CA,93215,1/1/2016,12/31/2017,KERN
PCM,30373,ALL VALLEY SPRAY SERVICE,2307 E CHENNAULT,FRESNO,CA,93720,1/1/2015,12/31/2016,FRESNO
PCM,30374,JONES RODNEY PEST CONTROL,PO BOX 1303,PORTOLA,CA,96122,1/1/2015,12/31/2016,PLUMAS
PCM,30375,SUNRISE PEST CONTROL INC.,4032 LEOS LN,CARMICHAEL,CA,95608,1/1/2016,12/31/2017,SACRAMENTO
PCM,30376,SCHOOLEY PEST CONTROL,2245 COLORADO BLVD # 104-PMB 147,PASADENA,CA,91107,1/1/2016,12/31/2017,LOS ANGELES
PCM,30377,SOUTHWOOD PEST CONTROL INC.,3345 MIRA LOMA #135,ANAHEIM,CA,92806,4/5/2016,12/31/2017,ORANGE
PCM,30378,GRASS ROOTS,7523 ALTA PEAK CT,BAKERSFIELD,CA,93313,1/1/2015,12/31/2016,KERN
PCM,30379,ULTRA DIVERSIFIED INC.,25015 AVENUE 104,TERRA BELLA,CA,93270,1/1/2016,12/31/2017,TULARE
PCM,30381,SAVIEZ VINEYARD MANAGEMENT,PO BOX 495,CALISTOGA,CA,94515-9525,1/1/2016,12/31/2017,NAPA
PCM,30382,MARINA LANDSCAPE INC.,1900 S LEWIS ST,ANAHEIM,CA,92805,1/1/2016,12/31/2017,ORANGE
PCM,30383,MEIER CITRUS & TREE CROP MANAGEMENT,1330 HIGHLAND DR,PORTERVILLE,CA,93257,2/22/2016,12/31/2017,TULARE
PCM,30386,C.A.H. LANDSCAPING MANAGEMENT,3274 FALERNO WY,SAN JOSE,CA,95135,1/1/2015,12/31/2016,SANTA CLARA
PCM,30389,PELTZER ENTERPRISES,17396 AVENUE 344,VISALIA,CA,93292,1/1/2016,12/31/2017,TULARE
PCM,30390,PROVIDENCE HORTICULTURE INCORPORATED,PO BOX 7735,FRESNO,CA,93727,1/1/2016,12/31/2017,FRESNO
PCM,30394,ENGLISH AIR SERVICE,655 DOESKIN TRAIL,SANTA MARIA,CA,93454,1/1/2015,12/31/2016,SANTA BARBARA
PCM,30395,MID-VALLEY LABOR SERVICES INC.,19358 AVENUE 18 1/2,MADERA,CA,93637,1/1/2016,12/31/2017,MADERA
PCM,30396,RIVER GARDEN FARMS CO.,41758 ROAD 112,KNIGHTS LANDING,CA,95645,1/7/2016,12/31/2017,YOLO
PCM,30401,PITTS AG ENTERPRISES,PO BOX 564,WASCO,CA,93280,1/1/2016,12/31/2017,KERN
PCM,30404,FORD SPRAYING INC,PO BOX 129,IVANHOE,CA,93292,1/1/2015,12/31/2016,TULARE
PCM,30413,SOUTHWEST AQUATICS,PO BOX 13212,PALM DESERT,CA,92211,1/1/2016,12/31/2017,RIVERSIDE
PCM,30420,RAMIREZ J. J.,PO BOX 1525,LOMA LINDA,CA,92373,1/1/2016,12/31/2017,SAN BERNARDINO
PCM,30422,SUMMITT FORESTS INC.,2305 ASHLAND ST. STE C PMB432,ASHLAND,OR,97520,1/1/2016,12/31/2017,OUT OF STATE
PCM,30424,RAY'S PEST CONTROL,307 PLUM DR,EXETER,CA,93221,1/1/2016,12/31/2017,TULARE
PCM,30425,REBENSDORF VINEYARDS INC.,6199 ROLINDA AVE,FRESNO,CA,93722,2/4/2016,12/31/2017,FRESNO
